Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes,"A, ","Forbes, Walter, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
216,,London; Virtue & Yorston,1868,Virtue & Co.,All for Greed,"A, ","Blaze De Bury, Marie Pauline Rose , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
218,,London,1869,"Bradbury, Evans & Co.",Love the Avenger,"A, ","Blaze De Bury, Marie Pauline Rose , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
472,,London,1851,James Darling,"Welsh Sketches, chiefly ecclesiastical, to the close of the twelfth century","A, ","Appleyard, Ernest Silvanus, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
480,"A new edition, revised, etc.",London,1857,Wertheim & Macintosh, Edited by ,"A, ","Broome, John Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
481,"Fourth edition, revised, etc.",London,1875,William Macintosh, Edited by ,"A, ","Broome, John Henry, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
519,,London,1872,The Author,Lagonells,"A, ","Ashley, Florence Emily, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
667,,"pp. 40. G. Bryan & Co: Oxford, 1898",,,"The Coming of Spring, and other poems","A, ","Andrews, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
874,,London],1676,,"A Warning to the inhabitants of England, and London in particular ","Remaʿ, ","Adams, Mary, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
1143,,London,1679,,A Satyr against Vertue,"A, ","Oldham, John, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
1280,,Coventry,1802,Printed by J. Turner,"An Account of the many and great Loans, Benefactions and Charities, belonging to the City of Coventry ",,"Carte, Samuel, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
1808,,Christiania,1859,,Erindringer som Bidrag til Norges Historie fra 1800-1815,"Aall, Jacob, ","Aall, J, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
1905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ,"Aar, Ermanno , ","S, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
1929,,Amsterdam,"1839, 38-54",,De Aardbol,,"Witkamp, Pieter Harme, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
2836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ,"Abate, Giovanni Agostino, ","Assereto, Giovanni, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
2854,,London,1865,E. Moxon & Co.,See-Saw; a novel ,"Abati, Francesco, ","Reade, William Winwood, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
2956,,Paris,1860-63,,"Géodésie d'une partie de la Haute Éthiopie, revue et rédigée par R","Abbadie, Antoine Thompson D', ","Radau, Rodolphe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
2957,,Paris,1873,,,"Abbadie, Antoine Thompson D', ","Radau, Rodolphe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
3017,"Nueva edicion, anotada ... y continuada ... por J. J. de Acosta y Calbo.",Puerto-Rico,1866,,,"Abbad Y Lasierra, AgustíN ÍÑIgo , ","Acosta Y Calbo, José Julian De, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
3131,,New York,1899,W. Abbatt,"The Crisis of the Revolution, being the story of Arnold and André now for the first time collected from all sources, and illustrated with views of all places identified with it ","Abbatt, William, ","André, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
4598,,Hull,1814,The Author,Peace: a lyric poem,"Abbott, Thomas Eastoe, ","Wrangham, Francis, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
4884,,London,1820,J. Hatchard & Son,"Abdallah; or, The Arabian Martyr: a Christian drama, in three acts",,"Barham, Thomas Foster , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
4976,"[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit, partim a Pocockio versum edendum curavit, notisque illustravit J. White. Arab. & Lat.",Oxonii,1800,"J. Cooke, etc.", Arab,,"White, Joseph , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
5382,,London,"1847, 48 [1846-48]",Punch Office,The Comic History of England ,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
5385,[Another edition.] Illustrated by John Leech.,London,[1897?],"Bradbury, Agnew & Co.",,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
5389,[Another edition.],London,[1897?],"Bradbury, Agnew & Co.",,"A'Beckett, Gilbert Abbott, ","Leech, John , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
5432,,Milano,1893,,Signa: opera in tre atti  ,"A'Beckett, Gilbert Arthur , ","Mazzucato, Giovanni Andrea, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005432,British Library HMNTS 11779.g.8.(10.)
6036,,London,1805,C. & R. Baldwin,"The Venetian Outlaw, a drama in three acts ",,"Elliston, Robert William, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
6821,,Aberdeen,1837,J. Davidson & Co.,Description of the Coast between Aberdeen and Leith,,"Duncan, William , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006821,British Library HMNTS 797.d.2.
7521,,Wien,1896,,Aus Kaukasischen Ländern,"Abich, Wilhelm Hermann, ","Abich, AdelaïDe, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007521,British Library HMNTS 10077.h.21.
7630,,Abingdon,1898,W. H. Hooke,Selections from the Municipal Chronicles of the Borough of Abingdon from A,,"Challenor, Bromley, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007630,British Library HMNTS 10352.dd.26.
8239,,Quebec,1899,L. J. Demers & Frère,"The Plains of Abraham, 1759, a spot sacred to the memory of Wolfe and Montcalm",,"Brotanek, Rudolf, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008239,British Library HMNTS 10470.ff.20.
8435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines,"Abraham, FéLix , ","Simonsen, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
8440,,London,1894,Effingham Wilson,The New Era of the Goldmining Industry in the Witwatersrand ,"Abraham, FéLix , ","Simonsen, H, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008440,British Library HMNTS 07108.g.6.
11361,,Leipzig,[1894-96,,Tirol und Vorarlberg ,"Achleitner, Arthur , ","Ubl, E, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011361,British Library HMNTS 10201.g.13.
11852,,"pp. 40. W. Cann: Plymouth, [1876?]",,,"A Question of Holy Writ, suggested by a lecture on Buddha and Buddhism, delivered before the Literary Society of Exeter, by Lieut","Ackland , ","Plimsoll, Joseph, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000011852,British Library HMNTS 011650.k.89.(4.)
13074,,London,1899,W. Thacker & Co.,A Summer in High Asia: being a record of sport and travel in Baltistan and Ladakh ,"Adair, Frederick Edward Shafto, ","Godfrey, Stuart Hill, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013074,British Library HMNTS 10077.d.27.|British Library OC V 3030
13364,,London,[1885],"Griffith, Farran & Co.",A Hand-book and History of Sidmouth from the Triassic period up to “Now,,"Hutchinson, Peter Orlando, ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000013364,British Library HMNTS 10358.g.35.(4.)|British Library HMNTS 10352.d.32.
14466,,London,[1860?],Adams & King,"The Historie of Eald Street, now called Old Street, with memoranda of the Parish of St",,"King , ",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000014466,British Library HMNTS 10352.i.24.
