,First Year,,Sophomore,,,,,Junior,,,,,,,Senior,,,,
Fall 2018 - Spring 2019 Annual Mapping,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CY,CS,CS,CS,UI,
,155,245,265,280,300,315,380,345,390,433,440,480,591,201,350,445,495,450,
SO #1. Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.,,,,,,,,,,,,,,,,,,,
PI #1. Identify an appropriate problem-solving strategy,0.83,0.71,0.81,0.95,0.73,0.8,1,0.86,,1,1,,-,-,1,0.67,,1,
PI #2. Apply appropriate solution method using principles of computing/other disciplines ,0.83,0.76,0.79,0.8,0.8,0.92,1,0.94,0.8,1,0.93,,-,-,1,,,1,
PI #3. Test a correct problem solution,0.83,0.81,0.81,0.95,0.73,0.92,1,0.51,0.8,1,,,-,-,1,,,1,
"SO #2. Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the program’s discipline",,,,,,,,,,,,,,,,,,,
PI #1. Design an appropriate computing-based solution,0.89,,0.81,0.95,0.8,0.92,1,,,1,0.87,,-,,1,,,1,
PI #2. Implement software/hardware/system applications,0.89,,0.79,0.95,0.73,0.92,1,,,,0.87,0.95,-,,1,,,1,
PI #3. Evaluate a computing-based solution,0.89,,0.79,0.95,0.73,0.86,1,,,1,0.93,,-,,1,,,1,
SO #3. Communicate effectively in a variety of professional contexts.,,,,,,,,,,,,,,,,,,,
PI #1. Communicates effectively in a variety of,,,,,,,,,,1,,,,,,0.83,1,1,
professional contexts orally,,,,,,,,,,,,,,,,,,,
PI #2. Communicates effectively in a variety of,0.87,,,,0.83,,,,0.67,1,,,,,,0.83,1,1,
professional contexts in writing,,,,,,,,,,,,,,,,,,,
PI #3. Uses language which appropriate to audience analysis,0.87,,,,0.83,,,0.81,0.8,1,,,,,,0.83,1,1,
SO #4. Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.,,,,,,,,,,,,,,,,,,,
PI #1. Recognize/understand professional responsibilities.,0.87,,,,,,,,,,,,,,,0.83,1,1,
PI #2. Understand and apply informed judgements and professional codes of ethics,0.87,,,,,,,,,,,,,,,0.83,1,1,
PI #3. Perform secure computing investigation,0.87,,0.9,,0.83,,,0.81,,,,0.85,,,,0.83,1,1,
SO #5. Function effectively as a member or leader of a team engaged in activities appropriate to the program’s discipline.,,,,,,,,,,,,,,,,,,,
PI #1. Understand and participate in creating a project plan as a member or leader of a group.,,,0.79,1,,,,,0.83,1,,1,,,,1,,1,
PI #2. Contribute to the development of a collaborative team environment.,,,0.79,1,,,,,0.83,1,,1,,,,1,,1,
PI #3. Apply principles of computing to implement individual projects.,0.89,,0.79,1,0.73,,,,0.83,,,1,,,,1,,1,
SO #6. Apply computer science theory and software development fundamentals to produce computing-based solutions.,,,,,,,,,,,,,,,,,,,
PI #1. Design software applications to meet specified requirements,0.89,,0.81,,0.83,,,,,,0.87,,-,,,0.67,,1,
PI #2. Apply Software Development Life Cycle for application development,0.89,,0.79,,0.83,,,,,,,,,,,0.83,,1,
PI #3. Identify appropriate algorithms/systems/architectures for computing-based solutions. ,0.89,0.76,0.79,1,0.83,0.8,1,0.86,0.67,1,0.93,0.95,-,,1,1,,1,
