,First Year,,,,Sophomore,,,,,Junior,,,,,,,Senior,,,,
,CS,CS,CS,IU,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CY,CS,CS,CS,CS,
,101,155,245,315,265,288,300,351,380,345,390,433,440,480,591,201,350,445,495,499,
SO #1. Analyze a complex computing problem and to apply principles of computing and other relevant disciplines to identify solutions.,,,,,,,,,,,,,,,,,,,,,
PI #1. Identify an appropriate problem-solving strategy,,0.93,0.93,,0.87,0.89,0.91,0.89,0.93,-,,1,0.95,,1,1,0.96,-,,1,
PI #2. Apply appropriate solution method using principles of computing/other disciplines ,,0.93,1,,0.89,0.94,0.83,0.88,1,-,1,1,0.91,,1,1,0.92,,,1,
PI #3. Test a correct problem solution,,0.93,0.97,,0.87,0.89,0.91,0.88,1,-,1,1,,,1,1,1,,,1,
"SO #2. Design, implement, and evaluate a computing-based solution to meet a given set of computing requirements in the context of the program’s discipline",,,,,,,,,,,,,,,,,,,,,
PI #1. Design an appropriate computing-based solution,0.82,0.76,,,0.87,0.89,0.83,0.88,1,,,1,0.92,,1,1,0.96,,,1,
PI #2. Implement software/hardware/system applications,0.81,0.76,,,0.89,0.89,0.91,0.88,1,,,,0.92,0.92,1,,0.92,,,1,
PI #3. Evaluate a computing-based solution,0.81,0.76,,,0.89,0.89,0.91,0.87,1,,,1,0.91,,1,1,1,,,1,
SO #3. Communicate effectively in a variety of professional contexts.,,,,,,,,,,,,,,,,,,,,,
PI #1. Communicates effectively in a variety of,,,,,,,,,,,,1,,,,,,-,1,1,
professional contexts orally,,,,,,,,,,,,,,,,,,,,,
PI #2. Communicates effectively in a variety of,,0.68,,,,,0.94,,,,0.93,1,,,,,,-,1,1,
professional contexts in writing,,,,,,,,,,,,,,,,,,,,,
PI #3. Uses language which appropriate to audience analysis,,0.68,,,,,0.94,,,-,1,1,,,,,,-,1,1,
SO #4. Recognize professional responsibilities and make informed judgments in computing practice based on legal and ethical principles.,,,,,,,,,,,,,,,,,,,,,
PI #1. Recognize/understand professional responsibilities.,,0.68,,0.88,,,,,,,,,,,,,,-,1,1,
PI #2. Understand and apply informed judgements and professional codes of ethics,,0.68,,0.97,,,,,,,,,,,,,,-,1,1,
PI #3. Perform secure computing investigation,,0.74,,,0.89,,0.94,,,-,,,,0.92,,1,,-,1,1,
SO #5. Function effectively as a member or leader of a team engaged in activities appropriate to the program’s discipline.,,,,,,,,,,,,,,,,,,,,,
PI #1. Understand and participate in creating a project plan as a member or leader of a group.,,,,,0.89,-,,,,,0.93,1,,0.96,,,,-,,1,
PI #2. Contribute to the development of a collaborative team environment.,,,,,0.89,-,,,,,0.93,1,,0.96,,,,-,,1,
PI #3. Apply principles of computing to implement individual projects.,,0.76,,,0.89,-,0.91,,,,0.93,,,0.96,,1,,-,,1,
SO #6. Apply computer science theory and software development fundamentals to produce computing-based solutions.,,,,,,,,,,,,,,,,,,,,,
PI #1. Design software applications to meet specified requirements,,0.76,,,0.87,,0.94,,,,,,0.92,,1,,,-,,1,
PI #2. Apply Software Development Life Cycle for application development,,0.76,,,0.89,,0.94,,,,,,,,,,,-,,1,
PI #3. Identify appropriate algorithms/systems/architectures for computing-based solutions. ,,0.76,1,,0.89,0.9,0.94,0.89,1,-,0.93,1,0.91,0.92,1,,0.96,-,,1,
